,Rank,Player,Team,Goals (PKs),Assists,Matches,Mins
0,1.,Robert Lewandowski,Bayern Munich,13 (3),3,10,696
1,2.,Karim Benzema,Real Madrid,12 (1),0,9,616
2,3.,Sebastien Haller,Ajax,11 (1),1,8,667
3,4.,Mohamed Salah,Liverpool,8 (1),0,8,648
4,5.,Christopher Nkunku,RB Leipzig,7,0,6,531
5,6.,Leroy Sane,Bayern Munich,6,6,9,681
6, ,Kylian Mbappe,PSG,6,4,8,673
7, ,Arnaut Danjuma,Villarreal CF,6 (1),2,9,657
8, ,Riyad Mahrez,Man City,6 (2),1,8,653
9, ,Cristiano Ronaldo,Man United,6,0,7,612
10,11.,Darwin Nunez,Benfica,5 (1),0,9,524
11, ,Lionel Messi,PSG,5 (2),0,7,630
12,13.,Thomas Muller,Bayern Munich,4,3,9,627
13, ,Pedro Goncalves,Sporting CP,4 (1),2,5,329
14, ,Antoine Griezmann,Atletico Madrid,4,2,7,390
15, ,Timo Werner,Chelsea,4,1,5,163
16,17.,Duvan Zapata,Atalanta,3,3,6,464
17, ,Serge Gnabry,Bayern Munich,3,2,7,320
18, ,Andre Silva,RB Leipzig,3,2,6,410
19, ,Raheem Sterling,Man City,3,2,8,460
20, ,Rodrygo,Real Madrid,3,1,5,162
21, ,Gabriel Jesus,Man City,3,1,5,169
22, ,Paulo Dybala,Juventus,3 (2),1,5,255
23, ,Marco Reus,B. Dortmund,3 (2),1,6,499
24, ,Hans Vanaken,Club Brugge,3,1,6,540
25, ,Edin Dzeko,Inter Milan,3,1,7,541
26, ,Paulinho,Sporting CP,3,1,8,582
27, ,Karim Adeyemi,RB Salzburg,3 (2),1,8,610
28, ,Steven Berghuis,Ajax,3,1,8,629
29, ,Luis Diaz,"Liverpool
			Porto",3,1,9,651
30, ,Roberto Firmino,Liverpool,3,0,4,192
31, ,Erling Haaland,B. Dortmund,3,0,3,203
32, ,Noah Okafor,RB Salzburg,3,0,6,345
33, ,Donyell Malen,B. Dortmund,3,0,6,392
34, ,Kai Havertz,Chelsea,3,0,8,462
35, ,Burak Yilmaz,LOSC Lille,3 (1),0,7,530
36, ,Sadio Mane,Liverpool,3,0,9,549
37, ,Jonathan David,LOSC Lille,3,0,8,680
