,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic
0,L. Messi,Lionel Andrés Messi Cuccittini,33,1987-06-24,170,72,Argentina,FC Barcelona,Spain Primera Division,1.0,93,93,560000,"RW, ST, CF",Left,5,4,4,Medium/Low,85.0,92.0,91.0,95.0,38.0,65.0
1,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,35,1985-02-05,187,83,Portugal,Juventus,Italian Serie A,1.0,92,92,220000,"ST, LW",Right,5,4,5,High/Low,89.0,93.0,81.0,89.0,35.0,77.0
2,J. Oblak,Jan Oblak,27,1993-01-07,188,87,Slovenia,Atlético Madrid,Spain Primera Division,1.0,91,93,125000,GK,Right,3,3,1,Medium/Medium,,,,,,
3,R. Lewandowski,Robert Lewandowski,31,1988-08-21,184,80,Poland,FC Bayern München,German 1. Bundesliga,1.0,91,91,240000,ST,Right,4,4,4,High/Medium,78.0,91.0,78.0,85.0,43.0,82.0
4,Neymar Jr,Neymar da Silva Santos Júnior,28,1992-02-05,175,68,Brazil,Paris Saint-Germain,French Ligue 1,1.0,91,91,270000,"LW, CAM",Right,5,5,5,High/Medium,91.0,85.0,86.0,94.0,36.0,59.0
5,K. De Bruyne,Kevin De Bruyne,29,1991-06-28,181,70,Belgium,Manchester City,English Premier League,1.0,91,91,370000,"CAM, CM",Right,4,5,4,High/High,76.0,86.0,93.0,88.0,64.0,78.0
6,K. Mbappé,Kylian Mbappé Lottin,21,1998-12-20,178,73,France,Paris Saint-Germain,French Ligue 1,1.0,90,95,160000,"ST, LW, RW",Right,3,4,5,High/Low,96.0,86.0,78.0,91.0,39.0,76.0
7,M. ter Stegen,Marc-André ter Stegen,28,1992-04-30,187,85,Germany,FC Barcelona,Spain Primera Division,1.0,90,93,260000,GK,Right,3,4,1,Medium/Medium,,,,,,
8,V. van Dijk,Virgil van Dijk,28,1991-07-08,193,92,Netherlands,Liverpool,English Premier League,1.0,90,91,210000,CB,Right,3,3,2,Medium/Medium,76.0,60.0,71.0,71.0,91.0,86.0
9,Alisson,Alisson Ramsés Becker,27,1992-10-02,191,91,Brazil,Liverpool,English Premier League,1.0,90,91,160000,GK,Right,3,3,1,Medium/Medium,,,,,,
10,S. Mané,Sadio Mané,28,1992-04-10,175,69,Senegal,Liverpool,English Premier League,1.0,90,90,250000,LW,Right,3,4,4,High/Medium,94.0,85.0,80.0,90.0,44.0,76.0
11,M. Salah,Mohamed Salah Ghaly,28,1992-06-15,175,71,Egypt,Liverpool,English Premier League,1.0,90,90,250000,RW,Left,3,3,4,High/Medium,93.0,86.0,81.0,90.0,45.0,75.0
12,T. Courtois,Thibaut Courtois,28,1992-05-11,199,96,Belgium,Real Madrid,Spain Primera Division,1.0,89,90,250000,GK,Left,4,3,1,Medium/Medium,,,,,,
13,S. Agüero,Sergio Leonel Agüero del Castillo,32,1988-06-02,173,70,Argentina,Manchester City,English Premier League,1.0,89,89,300000,ST,Right,4,4,4,High/Medium,78.0,90.0,77.0,88.0,33.0,73.0
14,Sergio Ramos,Sergio Ramos García,34,1986-03-30,184,82,Spain,Real Madrid,Spain Primera Division,1.0,89,89,300000,CB,Right,4,3,3,High/Medium,71.0,70.0,76.0,73.0,88.0,85.0
15,K. Benzema,Karim Benzema,32,1987-12-19,185,81,France,Real Madrid,Spain Primera Division,1.0,89,89,350000,"CF, ST",Right,4,4,4,Medium/Low,74.0,85.0,81.0,86.0,40.0,76.0
16,M. Neuer,Manuel Neuer,34,1986-03-27,193,92,Germany,FC Bayern München,German 1. Bundesliga,1.0,89,89,125000,GK,Right,5,4,1,Medium/Medium,,,,,,
17,Casemiro,Carlos Henrique Venancio Casimiro,28,1992-02-23,185,84,Brazil,Real Madrid,Spain Primera Division,1.0,89,89,310000,CDM,Right,3,3,2,High/High,65.0,73.0,76.0,72.0,86.0,91.0
18,Ederson,Ederson Santana de Moraes,26,1993-08-17,188,86,Brazil,Manchester City,English Premier League,1.0,88,91,195000,GK,Left,2,3,1,Medium/Medium,,,,,,
19,R. Sterling,Raheem Shaquille Sterling,25,1994-12-08,170,69,England,Manchester City,English Premier League,1.0,88,90,270000,"LW, RW",Right,3,3,4,High/Medium,93.0,81.0,79.0,90.0,45.0,67.0
20,J. Kimmich,Joshua Kimmich,25,1995-02-08,176,73,Germany,FC Bayern München,German 1. Bundesliga,1.0,88,90,145000,"CDM, RB",Right,3,4,3,High/Medium,71.0,72.0,86.0,84.0,81.0,79.0
