,short_name,long_name,age,dob,height_cm,weight_kg,nationality,Team,League,league_rank,overall,potential,wage_eur,FIFA Position,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,Goals,General_Position,Appearances,Index
0,L. Messi,Lionel Andrés Messi Cuccittini,32,1987-06-24,170,72,Argentina,FC Barcelona,Spain Primera Division,1.0,94,94,575000,"RW, CF, ST",Left,5,4,4,Medium/Low,87.0,92.0,92.0,96.0,39.0,66.0,14,Forward,19,0
1,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,1985-02-05,187,83,Portugal,Juventus,Italian Serie A,1.0,93,93,400000,"ST, LW",Right,5,4,5,High/Low,90.0,93.0,82.0,89.0,35.0,78.0,19,Forward,19,1
2,Neymar Jr,Neymar da Silva Santos Júnior,27,1992-02-05,175,68,Brazil,Paris Saint-Germain,French Ligue 1,1.0,92,92,300000,"LW, CAM",Right,5,5,5,High/Medium,91.0,85.0,87.0,95.0,32.0,58.0,9,Forward,10,2
4,E. Hazard,Eden Hazard,28,1991-01-07,175,74,Belgium,Real Madrid,Spain Primera Division,1.0,91,91,475000,"LW, CF",Right,4,4,4,High/Medium,91.0,83.0,86.0,94.0,35.0,66.0,1,Midfielder,9,4
5,K. De Bruyne,Kevin De Bruyne,28,1991-06-28,181,70,Belgium,Manchester City,English Premier League,1.0,91,91,375000,"CAM, CM",Right,4,5,4,High/High,76.0,86.0,92.0,86.0,61.0,78.0,8,Midfielder,25,5
7,V. van Dijk,Virgil van Dijk,27,1991-07-08,193,92,Netherlands,Liverpool,English Premier League,1.0,90,91,200000,CB,Right,3,3,2,Medium/Medium,77.0,60.0,70.0,71.0,90.0,86.0,4,Defender,26,7
9,M. Salah,Mohamed Salah Ghaly,27,1992-06-15,175,71,Egypt,Liverpool,English Premier League,1.0,90,90,225000,"RW, ST",Left,3,3,4,High/Medium,93.0,86.0,81.0,89.0,45.0,74.0,14,Forward,23,9
11,K. Koulibaly,Kalidou Koulibaly,28,1991-06-20,187,89,Senegal,Napoli,Italian Serie A,1.0,89,91,150000,CB,Right,3,3,2,Medium/High,71.0,28.0,54.0,67.0,89.0,87.0,0,Defender,14,11
12,H. Kane,Harry Kane,25,1993-07-28,188,89,England,Tottenham Hotspur,English Premier League,1.0,89,91,225000,ST,Right,3,4,3,High/High,70.0,91.0,79.0,81.0,47.0,83.0,11,Forward,20,12
16,G. Chiellini,Giorgio Chiellini,34,1984-08-14,187,85,Italy,Juventus,Italian Serie A,1.0,89,89,225000,CB,Left,4,3,2,Medium/High,68.0,46.0,58.0,60.0,90.0,82.0,1,Defender,2,16
18,Sergio Ramos,Sergio Ramos García,33,1986-03-30,184,82,Spain,Real Madrid,Spain Primera Division,1.0,89,89,300000,CB,Right,4,3,3,High/Medium,72.0,68.0,75.0,73.0,87.0,85.0,5,Defender,22,18
20,R. Lewandowski,Robert Lewandowski,30,1988-08-21,184,80,Poland,FC Bayern München,German 1. Bundesliga,1.0,89,89,225000,ST,Right,4,4,4,High/Medium,77.0,87.0,74.0,85.0,41.0,82.0,23,Forward,22,20
21,Sergio Busquets,Sergio Busquets i Burgos,30,1988-07-16,189,76,Spain,FC Barcelona,Spain Primera Division,1.0,89,89,300000,"CDM, CM",Right,4,3,3,Medium/Medium,42.0,62.0,80.0,80.0,85.0,80.0,3,Midfielder,20,21
22,A. Griezmann,Antoine Griezmann,28,1991-03-21,176,73,France,FC Barcelona,Spain Primera Division,1.0,89,89,375000,"CF, ST, LW",Left,4,3,4,High/High,81.0,86.0,84.0,89.0,57.0,72.0,8,Forward,23,22
23,P. Dybala,Paulo Bruno Exequiel Dybala,25,1993-11-15,177,75,Argentina,Juventus,Italian Serie A,1.0,88,92,225000,"CAM, RW",Left,3,3,4,Medium/Medium,83.0,82.0,84.0,90.0,43.0,64.0,6,Forward,21,23
24,P. Pogba,Paul Pogba,26,1993-03-15,191,84,France,Manchester United,English Premier League,1.0,88,91,250000,"CM, CDM",Right,4,4,5,High/Medium,74.0,81.0,86.0,85.0,66.0,86.0,0,Midfielder,7,24
26,R. Sterling,Raheem Shaquille Sterling,24,1994-12-08,170,69,England,Manchester City,English Premier League,1.0,88,90,250000,"RW, LW",Right,3,3,4,High/Medium,93.0,79.0,78.0,89.0,45.0,57.0,11,Midfielder,23,26
27,C. Eriksen,Christian Dannemann Eriksen,27,1992-02-14,181,76,Denmark,Tottenham Hotspur,English Premier League,1.0,88,89,200000,"CAM, CM",Right,3,5,4,High/High,73.0,81.0,90.0,84.0,53.0,63.0,2,Midfielder,20,27
33,David Silva,David Josué Jiménez Silva,33,1986-01-08,173,67,Spain,Manchester City,English Premier League,1.0,88,88,275000,"CAM, CM",Left,4,2,4,High/Medium,65.0,74.0,88.0,89.0,52.0,57.0,3,Midfielder,19,33
34,E. Cavani,Edinson Roberto Cavani Gómez,32,1987-02-14,185,77,Uruguay,Paris Saint-Germain,French Ligue 1,1.0,88,88,190000,ST,Right,4,4,3,High/High,75.0,86.0,72.0,79.0,55.0,83.0,2,Forward,9,34
36,T. Kroos,Toni Kroos,29,1990-01-04,183,76,Germany,Real Madrid,Spain Primera Division,1.0,88,88,325000,CM,Right,4,5,3,Medium/Medium,45.0,80.0,90.0,81.0,70.0,69.0,3,Midfielder,21,36
37,M. Reus,Marco Reus,30,1989-05-31,180,71,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,88,88,170000,"CAM, LM, ST",Right,4,4,4,High/Medium,85.0,88.0,84.0,87.0,45.0,66.0,11,Midfielder,19,37
38,P. Aubameyang,Pierre-Emerick Aubameyang,30,1989-06-18,187,80,Gabon,Arsenal,English Premier League,1.0,88,88,200000,"ST, LM",Right,3,4,4,Medium/Low,94.0,85.0,75.0,80.0,37.0,69.0,15,Forward,24,38
40,A. Laporte,Aymeric Laporte,25,1994-05-27,189,85,France,Manchester City,English Premier League,1.0,87,90,190000,"CB, LB",Left,2,3,2,Medium/Medium,64.0,50.0,71.0,68.0,88.0,82.0,0,Defender,6,40
41,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,1994-08-10,173,64,Portugal,Manchester City,English Premier League,1.0,87,90,200000,"RW, CAM, CM",Left,2,3,4,High/High,81.0,76.0,83.0,92.0,51.0,67.0,5,Midfielder,22,41
42,Casemiro,Carlos Henrique Venancio Casimiro,27,1992-02-23,185,84,Brazil,Real Madrid,Spain Primera Division,1.0,87,89,225000,CDM,Right,3,3,2,Medium/High,62.0,72.0,75.0,72.0,85.0,89.0,3,Midfielder,22,42
43,H. Son,손흥민 孙兴慜,26,1992-07-08,183,78,Korea Republic,Tottenham Hotspur,English Premier League,1.0,87,88,180000,"CF, LM",Right,3,5,4,High/High,88.0,86.0,80.0,87.0,42.0,68.0,9,Midfielder,21,43
44,Fernandinho,Fernando Luiz Rosa,34,1985-05-04,179,67,Brazil,Manchester City,English Premier League,1.0,87,87,200000,CDM,Right,3,4,3,Medium/High,66.0,74.0,79.0,78.0,84.0,79.0,0,Midfielder,21,44
45,Thiago Silva,Thiago Emiliano da Silva,34,1984-09-22,183,82,Brazil,Paris Saint-Germain,French Ligue 1,1.0,87,87,130000,CB,Right,4,3,2,Medium/High,62.0,54.0,72.0,72.0,87.0,78.0,0,Defender,16,45
46,K. Benzema,Karim Benzema,31,1987-12-19,185,81,France,Real Madrid,Spain Primera Division,1.0,87,87,275000,"CF, ST",Right,4,4,4,Medium/Low,76.0,82.0,80.0,86.0,39.0,77.0,13,Forward,23,46
47,J. Vertonghen,Jan Bert Lieve Vertonghen,32,1987-04-24,189,86,Belgium,Tottenham Hotspur,English Premier League,1.0,87,87,150000,CB,Left,3,3,3,High/High,63.0,63.0,74.0,72.0,87.0,79.0,1,Defender,17,47
48,D. Mertens,Dries Mertens,32,1987-05-06,169,61,Belgium,Napoli,Italian Serie A,1.0,87,87,130000,"CF, ST",Right,3,4,4,High/Low,88.0,83.0,80.0,91.0,35.0,53.0,6,Midfielder,18,48
49,M. Hummels,Mats Hummels,30,1988-12-16,191,94,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,87,87,130000,CB,Right,4,3,3,High/Medium,51.0,58.0,76.0,72.0,89.0,76.0,1,Defender,20,49
50,T. Alderweireld,Toby Alderweireld,30,1989-03-02,186,81,Belgium,Tottenham Hotspur,English Premier League,1.0,87,87,150000,CB,Right,3,3,2,Medium/Medium,64.0,55.0,72.0,66.0,88.0,79.0,1,Defender,25,50
51,Jordi Alba,Jordi Alba Ramos,30,1989-03-21,170,68,Spain,FC Barcelona,Spain Primera Division,1.0,87,87,225000,LB,Left,3,3,3,High/Medium,90.0,69.0,81.0,83.0,79.0,73.0,1,Defender,15,51
54,L. Insigne,Lorenzo Insigne,28,1991-06-04,163,59,Italy,Napoli,Italian Serie A,1.0,87,87,140000,"CF, LW, ST",Right,3,4,4,High/Medium,89.0,79.0,85.0,91.0,35.0,47.0,4,Forward,21,54
56,Marquinhos,Marcos Aoás Corrêa,25,1994-05-14,183,75,Brazil,Paris Saint-Germain,French Ligue 1,1.0,86,90,120000,"CB, CDM",Right,3,3,3,Medium/High,74.0,41.0,73.0,70.0,86.0,77.0,1,Defender,13,56
58,M. Verratti,Marco Verratti,26,1992-11-05,165,60,Italy,Paris Saint-Germain,French Ligue 1,1.0,86,89,140000,"CM, CDM",Right,3,4,4,Medium/High,65.0,60.0,84.0,90.0,79.0,66.0,0,Midfielder,12,58
59,S. Umtiti,Samuel Yves Umtiti,25,1993-11-14,182,75,France,FC Barcelona,Spain Primera Division,1.0,86,89,200000,CB,Left,3,3,2,Medium/High,69.0,63.0,69.0,69.0,86.0,82.0,0,Defender,9,59
